barangay,geog_district,legislative_district,brgy_cap,pop_2015,pop_2010,chg,code,urban_or_rural
Malubog,North,I,Dennis M. Dabuco,"2,568",2441.0,+5.20%,072217048,Rural
Mambaling,South,II,Gines N. Abellana,"32,564",32162.0,+1.25%,072217049,Urban
Pahina Central,North,I,Carlo V. Yap,"5,258",5227.0,+0.59%,072217050,Urban
Pahina San Nicolas,South,II,Arnulfo R. Cambonga,"3,196",1409.0,+126.83%,072217051,Urban
Pamutan,South,II,Ronaldo C. Labitad,"1,862",1807.0,+3.04%,072217052,Rural
Pari-an,North,I,Jeremias T. Nuñez,"1,574",1503.0,+4.72%,072217054,Urban
Paril,North,I,Neresa Villa W. Doncillo,"1,479",1412.0,+4.75%,072217055,Rural
Pasil,South,II,Julius O. Guioguio,"8,593",8591.0,+0.02%,072217056,Urban
Pit-os,North,I,Nilo C. Tariman,"6,244",5185.0,+20.42%,072217057,Urban
Poblacion Pardo,South,II,Archie Araw–Araw,"12,596",12103.0,+4.07%,072217053,Urban
Pulangbato,North,I,Marlene B. Macua,"5,988",5539.0,+8.11%,072217059,Rural
Pung-ol Sibugay,South,II,Jerson A. Cadampog,"2,556",2357.0,+8.44%,072217060,Rural
Punta Princesa,South,II,Eleno M. Andales Jr.,"22,369",22270.0,+0.44%,072217062,Urban
Quiot,South,II,Pancrasio I. Esparis,"24,200",21659.0,+11.73%,072217063,Urban
Sambag I,North,I,Maria Ailien R. Guardo,"13,434",11865.0,+13.22%,072217064,Urban
Sambag II,North,I,Ryan P. Aznar,"11,223",13526.0,−17.03%,072217065,Urban
San Antonio,North,I,Daido Stephen D. Abcede Jr.,"1,928",2010.0,−4.08%,072217066,Urban
San Jose,North,I,Joventino A. Ardaba,"6,870",5704.0,+20.44%,072217067,Urban
San Nicolas Proper,South,II,Clifford Jude G. Niñal,"6,694",6240.0,+7.28%,072217068,Urban
San Roque,North,I,Virginia Abenoja,"4,444",4870.0,−8.75%,072217069,Urban
Santa Cruz,North,I,Jerome B. Lim,"2,316",2522.0,−8.17%,072217070,Urban
Santo Niño,North,I,Lourdes R. Ramirez,"1,213",1568.0,−22.64%,072217022,Urban
Sapangdaku,South,II,Jovito S. Ladrazo,"7,594",6904.0,+9.99%,072217077,Urban
Sawang Calero,South,II,Sergio S. Ocaña,"8,259",7831.0,+5.47%,072217071,Urban
Sinsin,South,II,Aurelio R. Laspoña,"2,161",2111.0,+2.37%,072217073,Rural
Sirao,North,I,Flaviano C. Gabunada Jr.,"3,456",3871.0,−10.72%,072217074,Rural
Suba,South,II,Joel S. Sable,"11,026",9628.0,+14.52%,072217075,Urban
Sudlon I,South,II,Dante M. Tabucal,"2,777",2461.0,+12.84%,072217076,Rural
Sudlon II,South,II,Prescillo L. Alborez,"3,913",3579.0,+9.33%,072217088,Rural
T. Padilla (Villa Gonzalo),North,I,Michael L. Ralota,"7,646",8113.0,−5.76%,072217078,Urban
Tabunan,South,II,Nerio B. Pador,"2,138",1951.0,+9.58%,072217079,Rural
Tagba-o,South,II,Ana C. Tabal,"1,767",1951.0,−9.43%,072217080,Rural
Talamban,North,I,Dario B. Arcilla,"32,139",28278.0,+13.65%,072217081,Urban
Taptap,North,I,Brian M. Bontuyan,"2,093",1741.0,+20.22%,072217082,Rural
Tejero,North,I,Hermogenes A. Galang Jr.,"14,496",15204.0,−4.66%,072217083,Urban
Tinago,North,I,Domingo V. Lopez,"6,743",6554.0,+2.88%,072217084,Urban
Tisa,South,II,Renato I. Pacaña,"37,766",35600.0,+6.08%,072217085,Urban
To-ong,South,II,Alejandro D. Borres,"4,178",3986.0,+4.82%,072217086,Rural
Zapatera,North,I,Francisco D. Benedicto,"3,146",3317.0,−5.16%,072217084,Urban
