barangay pop_2000 pop_2010 annual_growth_rate hhold_pop num_hholds ave_hhold_size median_age land_area pop_density
Kalunasan 10,168 22,737 8.38 21,310 4,535 4.7 23 9.53 2,386
Kamagayan  1,898 2,061 0.83 1,979 482 4.1 23 0.21 9,814
Kasambagan 6,199 8,389 3.07 8,334 1,994 4.2 25 1.34 6,260
Kinasang-an_Pardo 10,145 14,382 3.55 14,376 3,114 4.6 23 2.48 5,799
Labangon 27,266 31,643 1.50 31,597 6,772 4.7 25 0.70 45,204
Lahug 35,275 35,157 -0.03 35,046 8,036 4.4 24 5.55 6,335
Lorega 10,616 11,178 0.52 11,175 2,607 4.3 24 0.18 62,100
Lusaran 2,060 2,530 2.08 2,530 568 4.5 22 9.27 273
Luz 13,062 16,923 2.62 16,784 4,127 4.1 24 0.40 42,308
Mabini 1,435 1,649 1.40 1,649 371 4.4 22 2.66 620
Mabolo 27,498 21,842 -2.28 21,656 5,503 3.9 25 2.31 9,455
Mambaling 26,417 32,162 1.99 32,080 6,798 4.7 22 0.51 63,063
Pahina_Central  6,416 5,227 -2.03 5,161 1,198 4.3 24 0.23 22,726
Pahina_San_Nicolas 3,482 1,409 -8.65 1,335 435 3.1 28 0.06 23,483
Pamutan 1,373 1,807 2.78 1,807 372 4.9 18 8.28 218
Pardo  15,151 12,103 -2.22 12,090 2,621 4.6 25 2.31 5,239
Pari-an 1,727 1,503 -1.38 1,415 440 3.2 25 0.13 11,562
Paril 1,148 1,412 2.09 1,412 296 4.8 23 2.26 625
Pasil 7,783 8,591 0.99 8,582 2,005 4.3 24 0.08 107,388
Pit-os 3,248 5,185 4.79 5,185 1,248 4.2 25 1.43 3,626
Pulangbato 3,617 5,539 4.35 5,539 1,251 4.4 24 6.48 855
Pung-ol-Sibugay 1,241 2,357 6.62 2,347 509 4.6 21 13.77 171
Punta_Princesa 22,482 22,270 -0.09 22,169 4,777 4.6 26 2.01 11,080
Quiot 13,342 21,659 4.96 21,600 4,625 4.7 23 1.27 17,054
Sambag_I  14,860 11,865 -2.23 11,677 3,045 3.8 25 0.39 30,423
Sambag_II  12,992 13,526 0.40 13,436 3,401 4.0 25 0.56 24,154
San_Antonio  1,919 2,010 0.46 2,010 652 3.1 24 0.23 8,739
San_Nicolas_Central 5,296 6,240 1.65 6,227 1,537 4.1 25 0.30 20,800
San_Roque 4,847 4,870 0.05 4,844 1,189 4.1 24 0.31 15,710
Santa_Cruz  2,479 2,522 0.17 2,501 817 3.1 25 0.31 8,135
Sapangdaku 4,572 6,904 4.21 6,847 1,525 4.5 22 6.77 1,020
Sawang_Calero  7,077 7,831 1.02 7,764 1,532 5.1 22 0.14 55,936
Sinsin 2,230 2,111 -0.55 2,111 468 4.5 22 11.40 185
Sirao 3,000 3,871 2.58 3,871 857 4.5 24 10.54 367
Suba_San_Nicolas 8,286 9,628 1.51 9,588 2,269 4.2 23 0.08 120,350
Sudlon_I 1,959 2,461 2.31 2,461 521 4.7 19 8.96 275
Sudlon_II 2,541 3,579 3.48 3,579 764 4.7 21 11.16 321
T_Padilla 9,988 8,113 -2.06 8,113 1,871 4.3 24 0.19 42,700
Tabunan 987 1,951 7.05 1,951 440 4.4 20 10.78 181
Tagbao 1,464 1,951 2.91 1,951 425 4.6 22 9.93 196
Taptap 1,714 1,741 0.16 1,741 418 4.2 23 8.24 211
Tejero 16,178 15,204 -0.62 15,191 3,466 4.4 23 0.33 46,073
Tinago 8,190 6,554 -2.20 6,462 1,555 4.2 25 0.18 36,411
Tisa 29,549 35,600 1.88 35,587 7,591 4.7 24 3.11 11,447
Zapatera 3,871 3,317 -1.53 3,284 728 4.5 28 0.41 8,090
Babag 3,526 4,451 2.36 4,435 977 4.5 22 5.89 756
Malubog 1,881 2,441 2.64 2,441 507 4.8 21 4.77 512
Talamban 17,844 28,278 4.71 27,850 6,484 4.3 25 5.15 5,491
San_Jose 2,782 5,704 7.44 5,485 1,138 4.8 22 2.13 2,678
To-ong_Pardo 3,079 3,986 2.62 3,986 773 5.2 19 8.03 496
Buhisan 9,159 13,032 3.59 13,020 2,699 4.8 22 4.92 2,649
